"latitude","longitude","Species","City"
38.3085,-92.8254,"Momo",4.8320570087307
39.1405,-91.419,"Momo",2.53536483558465
38.305,-92.411,"Momo",3.83527904729287
40.57773,-93.64312,"Momo",4.06442332281411
36.50787,-94.2319,"Momo",2.24751814042728
39.8397,-91.6533,"Momo",3.40419612458888
37.5562,-90.2488,"Momo",4.7634945309651
37.11433,-93.71506,"Momo",0.153821676957377
38.21719,-90.50072,"Momo",0.709989078734315
38.22635,-90.39488,"Momo",0.672861327094189
38.4063,-90.7357,"Momo",0.347450971231701
38.45927,-90.55145,"Momo",0.175403430433937
39.30745,-94.59565,"Momo",0.141102652240249
37.19201,-93.73122,"Momo",0.157034074559991
37.117,-93.894,"Momo",0.293554466015469
36.589,-93.3945,"Momo",1.48342759139736
36.51627,-94.60989,"Momo",1.68023711514864
38.1875,-92.337,"Momo",3.8093231387133
36.6,-91.2,"Momo",5.84353038534903
36.4504,-92.2428,"Momo",3.68640245790525
36.06055,-89.98725,"Momo",3.65529751460887
39.3735,-91.093,"Momo",2.01312351069074
39.445,-91.07,"Momo",1.81599508101001
39.29007,-91.09014,"Momo",2.2323629987334
39.04035,-94.16049,"Momo",0.0454518532967022
36.97061,-92.09264,"Momo",1.5630688713944
38.46253,-93.91737,"Momo",1.50942270784692
40.39956,-94.02478,"Momo",5.48230565624826
37.07354,-93.13545,"Momo",0.0971201900529828
38.441,-91.6284,"Momo",1.55672154991876
38.40685,-90.7,"Momo",0.324103213675718
36.8109,-92.3046,"Momo",1.65663977632132
37.39315,-91.3012,"Momo",3.13422127108956
37.48743,-93.86594,"Momo",0.713782737970532
37.8597,-91.432,"Momo",3.03041465108269
38.81124,-92.59781,"Momo",3.14060056034748
39.60238,-94.40015,"Momo",0.916347681160558
39.7557,-92.9282,"Momo",2.83768499085132
37.93125,-91.33569,"Momo",2.51729832635438
38.11203,-91.1569,"Momo",1.50502724066679
38.2081,-91.16042,"Momo",1.19197594013794
37.99225,-91.42575,"Momo",2.35468859445778
37.63169,-91.41383,"Momo",3.107802124676
37.02496,-92.11988,"Momo",1.375854046387
36.94109,-92.7622,"Momo",0.588374958315448
36.7548,-92.1527,"Momo",2.18980018339237
37.79465,-90.79886,"Momo",2.85072031647227
38.28,-91.6253,"Momo",1.77098494995909
37.0968,-93.4303,"Momo",0.0499443933142802
37.3317,-93.614,"Momo",0.183857273709588
37.66643,-90.86792,"Momo",3.77467326261619
39.03445,-94.10855,"Momo",0.0688558506066106
38.5229,-94.19245,"Momo",0.924999816918235
38.524,-94.1927,"Momo",0.920937413681823
38.5992,-94.1057,"Momo",0.777403915922853
38.99353,-94.22043,"Momo",0.0596078213500678
39.00875,-94.30658,"Momo",0.0306329102912143
37.18124,-94.47345,"Momo",1.13136542749724
37.87153,-93.82087,"Momo",2.29243755644271
38.7437,-94.2633,"Momo",0.299083573244723
38.16811,-92.79309,"Momo",3.69564780354508
38.56724,-92.07335,"Momo",2.68129256104977
39.08817,-92.31901,"Momo",3.37269893127686
36.8133,-93.8232,"Momo",0.705853176871202
39.859,-94.856,"Momo",2.29087376895946
34.31605,-89.845,"Momo",2.66674585753118
32.40191,-90.19371,"Momo",0.0265952318951797
36.7279,-93.6383,"Momo",0.897552889888819
38.9099,-92.36771,"Momo",3.57368635868997
38.62,-91.96238,"Momo",2.40315943709443
38.04414,-92.97639,"Momo",2.80221137568202
38.586,-94.286,"Momo",0.635834985000259
37.664,-93.684,"Momo",1.11954614734853
31.39275,-91.08505,"Momo",3.58311044339489
33.56555,-90.8022,"Momo",7.06413317942279
33.10925,-89.59135,"Momo",2.52562210508102
31.1603,-90.71574,"Momo",1.99815475410388
41.134,-95.88,"Momo",0.088889981739528
40.64043,-97.13196,"Momo",0.239089686214369
40.84792,-96.6824,"Momo",0.00307496888108713
42.76609,-97.97573,"Momo",3.07509038686156
41.55099,-98.22576,"Momo",4.77311868723161
40.1399,-96.7432,"Momo",1.85701242465333
41.238,-95.92,"Momo",0.00986674516379554
42.47356,-96.46025,"Momo",4.86394423694314
39.74678,-89.34647,"Momo",0.081198262546943
36.13222,-95.79677,"Momo",0.0122501592809381
